100000	.000305	.001015
200000	.000269	.000625
300000	.000278	.001004
400000	.000285	.000436
500000	.000309	.001160
600000	.000301	.002010
700000	.000310	.000611
800000	.000311	.000274
900000	.000290	.001078
1000000	.000302	.000878
1100000	.000315	.001663
1200000	.000316	.001642
1300000	.000303	.001885
1400000	.000293	.000862
1500000	.000281	.001045
1600000	.000290	.000561
1700000	.000297	.000465
1800000	.000294	.002653
1900000	.000279	.001440
2000000	.000284	.002181
2100000	.000288	.001372
2200000	.000303	.002065
2300000	.000292	.000718
2400000	.000291	.000773
2500000	.000371	.003378
2600000	.000328	.002449
2700000	.000291	.001544
2800000	.000295	.002188
2900000	.000293	.003010
3000000	.000280	.000806
3100000	.000288	.000887
3200000	.000340	.003421
3300000	.000325	.002419
3400000	.000294	.001419
3500000	.000302	.000644
3600000	.000282	.000896
3700000	.000271	.001825
3800000	.000345	.002526
3900000	.000321	.002624
4000000	.000296	.002348
4100000	.000322	.001350
4200000	.000294	.001893
4300000	.000295	.001448
4400000	.000311	.000700
4500000	.000289	.000364
4600000	.000299	.000852
4700000	.000285	.000584
4800000	.000294	.000830
4900000	.000305	.001256
5000000	.000313	.000436
5100000	.000292	.001068
5200000	.000300	.000862
5300000	.000306	.000290
5400000	.000323	.002627
5500000	.000315	.001034
5600000	.000287	.000627
5700000	.000311	.000289
5800000	.000304	.000505
5900000	.000290	.000408
6000000	.000281	.000580
6100000	.000313	.000654
6200000	.000302	.000866
6300000	.000294	.000763
6400000	.000290	.001555
6500000	.000295	.001034
6600000	.000308	.000628
6700000	.000312	.000658
6800000	.000282	.000841
6900000	.000310	.000832
7000000	.000299	.001416
7100000	.000278	.000431
7200000	.000291	.000457
7300000	.000319	.000919
7400000	.000291	.000766
7500000	.000310	.000884
7600000	.000296	.000644
7700000	.000279	.000616
7800000	.000305	.002516
7900000	.000301	.000960
8000000	.000301	.001057
8100000	.000298	.000728
8200000	.000327	.000959
8300000	.000304	.004081
8400000	.000317	.000561
8500000	.000302	.000913
8600000	.000302	.001185
8700000	.000302	.001047
8800000	.000288	.001141
8900000	.000309	.001095
9000000	.000297	.000487
9100000	.000290	.000544
9200000	.000279	.001065
9300000	.000297	.001159
9400000	.000310	.000598
9500000	.000337	.001571
9600000	.000382	.001768
9700000	.000372	.001071
9800000	.000318	.000760
9900000	.000358	.001340
10000000	.000473	.004191
